Layer,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,CellAVG,Obs
RGDS-2,0.47,0.577,0.144,0.322,0.129,0.721,0.193,0.204,0.129,0,0.28890,20
RGDS-2,0.144,0.635,0.329,0.266,0,0.504,0.555,0.664,0.322,0.194,0.36130,21
RGDS-2,0.392,0.595,0.288,0.129,0.365,0.144,0.329,0.091,0.064,0.258,0.26550,22
RGDS-2,0.091,0.347,0.258,0.182,0.288,0.193,0.144,0.491,0.347,0.392,0.27330,23
RGDS-2,0.465,0.144,0.129,0.129,0.064,0.182,0.193,0.491,0.258,0.266,0.23210,24
RGDS-2,0,0.551,0.376,0.233,0.258,0.967,0.233,0.433,0.193,0.064,0.33080,25
RGDS-2,0.365,1.098,0.392,0.129,0.233,0.581,0.204,0.129,0.064,0.064,0.32590,26
RGDS-2,0.204,0.52,0.288,0.233,0,0.064,0,1.001,0.064,0.064,0.24380,27
RGDS-2,0.064,0.686,0.204,0.193,0.266,0.129,0.091,0.808,0.091,0.233,0.27650,28
RGDS-2,0.288,0.917,0.204,0.204,0.129,0,0.329,0.387,0.182,0.274,0.29140,29
RGDS-2,0.274,0.826,0.433,0.064,0.129,0.182,0.144,0.193,0.288,0.258,0.27910,30
RGDS-2,0.347,0.645,0.347,0.144,0.193,0,0.392,0.712,0.504,0.52,0.38040,31
RGDS-2,0.376,0.456,0.408,0.274,0.392,0.274,0.387,0.982,0.266,0.233,0.40480,32
RGDS-2,0.365,0.266,0.413,0.144,0.204,0.376,0.091,0.347,0.064,0.645,0.29150,33
RGDS-2,0.408,0.752,0.413,0.413,0.204,0,0,0.091,0.064,0.595,0.29400,34
RGDS-2,0.266,0.266,0.091,0.274,0.193,0.182,0.064,0.577,0.064,0.645,0.26220,35
RGDS-2,0.52,0.144,0.064,0.322,0.129,0.193,0,0.274,0.129,0.322,0.20970,36
RGDS-2,0.233,0.387,0.491,0.144,0.347,0.266,0.144,0.347,0.233,0.413,0.30050,37
RGDS-2,0.129,0.387,0.387,0.064,0.144,0.144,0.144,0.144,0.288,0.612,0.24430,38
RGDS-2,0.144,0.091,1.217,0.144,0.129,0,0.129,0.73,0,0.896,0.34800,39
RGDS-2,0.233,0.193,1.693,0.274,0.547,0.129,0.064,0.923,0.322,0.329,0.47070,40
EPA-1,0.144,0.144,0.329,0.204,0.465,0.233,0.322,0.129,0,0.258,0.22280,1
EPA-1,0.658,0.266,0.193,0.193,0.288,0,0.258,0.204,0.408,0.322,0.27900,2
EPA-1,0.329,0.504,0.258,0,0,0.193,0.064,0.233,0.129,0.555,0.22650,3
EPA-1,0,0,0.064,0.144,0.091,0.144,0.322,0.645,0.532,0.266,0.22080,4
EPA-1,0.347,0.322,0,0,0.288,0.532,0.387,0.064,0.456,0.288,0.26840,5
EPA-1,0,0.387,0.258,0.064,0,0.456,0.532,0.204,0.376,0.387,0.26640,6
EPA-1,0.064,0.266,0.129,0.064,0.204,0.52,0.064,0.456,0.064,0.288,0.21190,7
EPA-1,0.064,0.456,0.322,0.129,0.064,0.274,0.329,0.064,0.129,0.129,0.19600,8
EPA-1,0.129,0.233,0,0.204,0.288,0,0.258,0.204,0.433,0.465,0.22140,9
EPA-1,0,0.144,0.144,0.322,0.129,0.451,0.064,0.288,0.182,0.491,0.22150,10
EPA-1,0.064,0.376,0,0.266,0.233,0,0.387,0.322,0.288,0.577,0.25130,11
EPA-1,0,0,0.182,0.347,0.129,0,0.129,0.516,0.347,0.091,0.17410,12
EPA-1,0,0.064,0.465,0.258,0.129,0.392,0.376,0.144,0.433,0.413,0.26740,13
EPA-1,0.266,0.274,0,0.322,0.182,0,0.376,0,0.144,0.322,0.18860,14
EPA-1,0.182,0.258,0.129,0,0.288,0.451,0.274,0.392,0.064,0,0.20380,15
EPA-1,0.408,0.329,0,0.329,0.193,0,0.064,0.288,0.233,0.064,0.19080,16
EPA-1,0.266,0.504,0,0,0.064,0.433,0.193,0.555,0.387,0.129,0.25310,17
EPA-1,0.182,0.091,0.193,1.419,0.144,0.064,0.258,0.144,0.233,0.144,0.28720,18
EPA-1,0.204,0.233,0.144,0.456,0.193,0.52,0,0.288,0.274,0.456,0.27680,19
EPA-1,1.034,0.329,0.129,0.387,0.064,0.258,0.129,0.413,1.189,0.144,0.40760,20
EPA-1,0.233,0.456,0.129,0.648,0.266,0.129,0.064,0.193,0.376,0.064,0.25580,21
EPA-1,0.144,0.465,0.064,0.673,0.387,0.322,0,0.288,0.52,0.413,0.32760,22
EPA-1,0.258,0.451,0,0.52,0.233,0.387,0.064,0.465,0.608,0,0.29860,23
